Sample Code,Labcode,log.bulk level,Log.accept,Log.reject,log bulk.accept,log.accept-reject,Percentage reduction,percentage rejection
1,MS2020/08,3.6,2.5,5.1,1.0,2.6,90.7,0.7
2,MS2020/12,3.6,0.7,4.4,2.9,3.7,99.9,0.9
3,MS2020/13,4.2,3.5,4.5,0.7,1.1,80.5,13.9
4,MS2020/16,3.6,1.6,5.1,2.0,3.5,99.0,3.2
5,MS2020/17,4.5,2.2,4.0,2.3,1.9,99.5,1.9
6,MS2020/25,4.3,1.9,4.2,2.4,2.3,99.6,3.5
7,MS2020/28,3.5,1.4,4.4,2.1,3.0,99.2,1.0
8,MS2020/31,4.5,2.0,4.1,2.5,2.1,99.7,4.6
9,MS2020/34,4.7,3.6,4.2,1.2,0.6,93.1,48.1
10,MS2020/35,3.4,3.3,0.7,0.1,-2.6,27.6,0.8
11,MS2020/36,3.4,1.9,4.0,1.5,2.1,96.8,7.9
12,MS2020/39,4.5,2.6,4.5,2.0,1.9,98.9,5.3
13,MS2020/56,3.7,1.9,4.6,1.8,2.7,98.5,0.7
14,MS2020/59,3.3,2.9,0.7,0.4,-2.2,60.2,1.4
15,MS2020/63,3.6,0.7,3.0,2.9,2.3,99.9,0.2
16,MS2020/65,3.5,2.3,4.6,1.3,2.4,94.4,0.8
17,MS2020/74,3.6,0.7,0.7,2.9,0.0,99.9,1.9
18,MS2020/84,3.7,0.7,4.3,3.0,3.6,99.9,0.2
19,MS2020/95,3.4,3.2,5.0,0.2,1.8,30.8,0.6
20,MS2020/97,3.7,0.7,0.7,3.0,0.0,99.9,0.0
21,MS2020/103,3.5,0.7,5.0,2.8,4.3,99.8,2.2
22,MS2020/119,3.4,0.7,3.0,2.7,2.3,99.8,22.5
23,MS2020/122,3.3,2.7,4.2,0.7,1.6,78.6,15.1
